query,english_gloss,language,intent,stage,demand,source,topic_cluster
сборы при продаже недвижимости Дубай,Dubai sale fees,ru,transactional,MOFU,3,goldenbee.estate,Fees & net proceeds
расторжение договора с застройщиком Дубай,rescind contract with developer,ru,transactional,BOFU,2,blog.housebook + emirates.estate,Payment plan arrears / distress
если не могу платить рассрочку Дубай,can't pay installments Dubai,ru,transactional,BOFU,2,emirates.estate + westgatedubai,Payment plan arrears / distress
что делать если застройщик не сдает объект,what if developer doesn't deliver,ru,transactional,MOFU,2,blog.housebook,Payment plan arrears / distress
продажа с убытком Дубай off-plan,sale at loss Dubai off-plan,ru,transactional,BOFU,3,forbes.ru + vc.ru,Tax — home-country residual
россияне теряют деньги Дубай недвижимость,Russians losing money Dubai,ru,transactional,TOFU,3,forbes.ru + smart-lab,Tax — home-country residual
рынок Дубай падение 2026,Dubai market fall 2026,ru,transactional,TOFU,2,kommersant + ruinformer,Market context / oversupply
эскроу счет Дубай как работает,escrow Dubai how it works,ru,informational,MOFU,2,westgatedubai.com/ru,Banking / getting paid
вторичка vs off-plan Дубай,secondary vs off-plan Dubai,ru,transactional,TOFU,2,vc.ru/invest/2867436,Process & eligibility
как оценить свою квартиру в Дубае,how to price my apt Dubai,ru,transactional,MOFU,2,goldenbee + vc.ru,Pricing & benchmarking
калькулятор стоимости недвижимости Дубай,Dubai property value calc,ru,transactional,BOFU,2,goldenbee price index,Fees & net proceeds
продать квартиру Дубай без риэлтора,sell Dubai apt without agent,ru,transactional,MOFU,2,vc.ru + dvitex (RF context),Commission — 0.15% vs 2%
как быстро продать квартиру Дубай,how to sell Dubai apt fast,ru,transactional,MOFU,2,goldenbee + axcapital,Process & eligibility
сколько времени продажа квартиры Дубай,how long to sell Dubai apt,ru,transactional,MOFU,2,goldenbee.estate,Pricing & benchmarking
документы для продажи Дубай квартиры,docs to sell Dubai apt,ru,transactional,MOFU,3,vc.ru + housedubai,"Documents & forms (Form F/A, Trakheesi)"
MOU договор Дубай недвижимость,MOU Dubai property,ru,transactional,MOFU,2,vc.ru/legal,"Documents & forms (Form F/A, Trakheesi)"
налоговый резидент РФ 183 дня продажа,RF tax resident 183 days sale,ru,transactional,BOFU,3,ndflka.ru + nalog-nalog,Tax — home-country residual
сертификат налогового резидентства ОАЭ,UAE tax residency cert,ru,transactional,BOFU,2,open-offshore + astons,Tax — home-country residual
9% корпоративный налог ОАЭ продажа,9% corp tax UAE sale,ru,transactional,TOFU,2,uae-consulting.com,Tax — home-country residual
KYC источник средств Дубай,KYC source of funds Dubai,ru,transactional,BOFU,2,inferred,Banking / getting paid
санкции Россия недвижимость ОАЭ,sanctions RF UAE property,ru,transactional,TOFU,2,cnbc + vc.ru,Tax — home-country residual
как вывести деньги из ОАЭ в Россию,move money UAE to RF,ru,transactional,BOFU,3,inferred + adjacent,Banking / getting paid
купить-продать недвижимость Дубай 2025 статистика,buy-sell stats 2025,ru,transactional,TOFU,2,prian.ru + vc.ru,Market context / oversupply
застройщики Дубая список надежные,reliable Dubai developers list,ru,informational,TOFU,2,vc.ru + goldenbee,Pricing & benchmarking
какие районы Дубая быстро продаются,fast-selling Dubai districts,ru,transactional,MOFU,2,inferred,Process & eligibility
Дубай Marina продать квартиру,sell Dubai Marina apt,ru,transactional,BOFU,2,prian.ru listings,Process & eligibility
Business Bay переуступка,Business Bay assignment,ru,transactional,BOFU,2,inferred,Process & eligibility
JVC Damac Lagoons продать,JVC Damac Lagoons sell,ru,transactional,BOFU,2,inferred,Developer-specific rules
Creek Harbour Emaar перепродажа,Creek Harbour Emaar resale,ru,transactional,BOFU,2,inferred,Developer-specific rules
Sobha Hartland продать до сдачи,Sobha Hartland sell before,ru,transactional,BOFU,2,vc.ru/invest/2864024,Developer-specific rules
Дубай инвестиции 2026 убытки обзор,Dubai 2026 loss review,ru,transactional,TOFU,3,forbes.ru + ruinformer,Market context / oversupply
риэлтор Дубай русскоязычный,Russian-speaking agent Dubai,ru,transactional,MOFU,3,propertyfinder.ae,Marketplace / listing channels
брокерская лицензия RERA проверить,check RERA broker license,ru,transactional,BOFU,2,inferred,Regulatory / RERA
Trakheesi permit объявление Дубай,Trakheesi ad permit,ru,transactional,MOFU,1,inferred,"Documents & forms (Form F/A, Trakheesi)"
как застройщики разводят россиян Дубай,how developers trick Russians,ru,transactional,TOFU,3,YouTube (~93k+ views class),Process & eligibility
форма Ф продажа Дубай,Form F sale Dubai,ru,transactional,BOFU,3,vc.ru/legal/2854871,"Documents & forms (Form F/A, Trakheesi)"
продажа квартиры Дубай в ипотеке,sell Dubai apt with mortgage,ru,transactional,BOFU,2,inferred,Banking / getting paid
mortgage release Дубай продажа,mortgage release Dubai sale,ru,transactional,BOFU,2,inferred,Banking / getting paid
迪拜期房转售,Dubai off-plan resale,zh,commercial-investigational,Mid,2,obs,Process & eligibility
迪拜楼花转让,Dubai off-plan transfer (Cantonese term),zh,commercial-investigational,Mid-High,2,inf,Process & eligibility
迪拜房产 NOC,Dubai property NOC,zh,transactional,High,2,obs,NOC procedures
迪拜房产 过户流程,Dubai property transfer process,zh,transactional,High,2,obs,Process & eligibility
迪拜 DLD 土地局,Dubai Land Department,zh,informational,Any,2,obs,Oqood & DLD mechanics
迪拜 Oqood 阿库德,Dubai Oqood certificate,zh,informational,Mid,2,obs,Oqood & DLD mechanics
迪拜期房 出售,Sell Dubai off-plan,zh,transactional,High,1,inf,Process & eligibility
迪拜房产 中介费,Dubai broker commission,zh,informational,Any,3,obs,Commission — 0.15% vs 2%
迪拜房产 佣金 多少,How much Dubai commission,zh,informational,Any,3,obs,Commission — 0.15% vs 2%
迪拜买房 中介 收费,Dubai agent fee when buying,zh,informational,Any,3,obs,Commission — 0.15% vs 2%
迪拜 房产税,Dubai property tax,zh,informational,Any,3,obs,Tax — home-country residual
迪拜卖房 税,Tax when selling Dubai property,zh,informational,Post,2,obs,Tax — home-country residual
迪拜 资本利得税,Dubai capital gains tax,zh,informational,Post,2,obs,Tax — home-country residual
迪拜 印花税,Dubai stamp duty,zh,informational,Any,2,obs,Fees & net proceeds
迪拜房产 4% 注册费,Dubai 4% DLD registration fee,zh,informational,Mid,3,obs,Oqood & DLD mechanics
中国人 迪拜 买房,Chinese people buying in Dubai,zh,informational,Awareness,3,obs,Market context / oversupply
迪拜 黄金签证 200万,Dubai golden visa 2M AED,zh,commercial-investigational,Awareness,3,obs,Regulatory / RERA
迪拜 黄金签证 房产,Golden visa via property,zh,commercial-investigational,Mid,3,obs,Regulatory / RERA
迪拜 黄金签证 买房 流程,Golden visa purchase process,zh,transactional,Mid,2,obs,Regulatory / RERA
迪拜买房攻略,Dubai buying guide,zh,informational,Awareness,3,obs,Process & eligibility
迪拜买房 流程,Dubai buying process,zh,informational,Mid,3,obs,Process & eligibility
迪拜 伊玛尔 期房,EMAAR off-plan,zh,commercial-investigational,Mid,2,obs,Developer-specific rules
迪拜 Sobha 索巴,Sobha developer,zh,commercial-investigational,Mid,2,obs,Developer-specific rules
迪拜 Damac 达马克,DAMAC,zh,commercial-investigational,Mid,2,obs,Developer-specific rules
迪拜房产投资 风险,Dubai property investment risk,zh,informational,Awareness,3,obs,Market context / oversupply
迪拜 房产 骗局,Dubai property scam,zh,informational,Awareness,2,obs,Market context / oversupply
迪拜 房产 烂尾,Dubai abandoned stalled projects,zh,informational,Post-purchase,2,obs,Payment plan arrears / distress
迪拜 房产 回报率,Dubai property ROI,zh,informational,Awareness,3,obs,Pricing & benchmarking
迪拜 租金回报率,Dubai rental yield,zh,informational,Any,3,obs,Pricing & benchmarking
迪拜房价 2026,Dubai house prices 2026,zh,informational,Awareness,3,obs,Market context / oversupply
迪拜楼市,Dubai property market,zh,informational,Awareness,3,obs,Market context / oversupply
迪拜房价 暴跌,Dubai prices crash,zh,informational,Awareness,2,obs,Market context / oversupply
迪拜 永久产权,Dubai freehold,zh,informational,Any,3,obs,Regulatory / RERA
迪拜 永久产权 区域,Freehold zones,zh,informational,Mid,2,obs,Regulatory / RERA
迪拜卖房 海外,Selling Dubai property from overseas,zh,transactional,High,1,inf,Remote selling / POA
迪拜 房产 委托书,Dubai property POA,zh,transactional,High,2,obs,Remote selling / POA
人在国外 卖迪拜房,Sell Dubai property while abroad,zh,transactional,High,1,inf,Process & eligibility
迪拜 海外远程公证 房产,Overseas remote notarization for property,zh,transactional,High,1,obs,Remote selling / POA
迪拜 期房 付款 进度,Off-plan payment schedule,zh,informational,Pre-purchase,2,obs,Payment plan arrears / distress
迪拜期房 交房延期,Off-plan handover delay,zh,informational,Post,2,obs,Payment plan arrears / distress
迪拜 物业费 服务费,Service charges,zh,informational,Post,2,obs,Fees & net proceeds
迪拜买房 贷款 按揭,Dubai mortgage,zh,informational,Mid,2,obs,Banking / getting paid
迪拜 公寓 投资,Dubai apartment investment,zh,commercial-investigational,Awareness,3,obs,Process & eligibility
迪拜 别墅 投资,Dubai villa investment,zh,commercial-investigational,Awareness,2,obs,Process & eligibility
迪拜 哈利法塔 附近 房产,Burj Khalifa area property,zh,commercial-investigational,Mid,2,obs,Process & eligibility
小红书 迪拜买房,Xiaohongshu Dubai buying,zh,informational,Awareness,2,obs,Marketplace / listing channels
दुबई में प्रॉपर्टी कैसे खरीदें,How to buy property in Dubai,hi,informational,TOFU,3,google.co.in autocomplete + AajTak,Process & eligibility
Dubai property investment India,Dubai property investment from India,hi,informational,TOFU,3,AajTak,Process & eligibility
NRI Dubai property FEMA LRS rules,FEMA LRS rules for NRIs Dubai,hi,informational,MOFU,3,hindi.business-standard.com,Tax — home-country residual
दुबई प्रॉपर्टी टैक्स NRI,Dubai property tax NRI,hi,informational,MOFU,2,5paisa Hindi,Tax — home-country residual
Black Money Act Dubai property,Black Money Act Dubai property,hi,informational,BOFU,2,Business Standard + DineshAarjav,Tax — home-country residual
ED notice Dubai property India,ED notice Dubai property,hi,informational,BOFU,2,TaxGuru + Sriya,Tax — home-country residual
Schedule FA ITR foreign property कैसे भरें,How to fill Schedule FA foreign property ITR,hi,informational,BOFU,2,CA-blog ecosystem,Tax — home-country residual
LRS $250000 Dubai property,LRS limit Dubai property,hi,informational,MOFU,2,Business Standard Hindi,Tax — home-country residual
DTAA India UAE Dubai property,DTAA India UAE Dubai property,hi,informational,MOFU,2,Tax2Win + ClearTax,Tax — home-country residual
दुबई में ऑफ-प्लान प्रॉपर्टी,Off-plan property Dubai,hi,informational,TOFU,1,Primo Capital translation,Process & eligibility
दुबई प्रॉपर्टी बेचना,Selling Dubai property,hi,transactional,BOFU,1,Emirates.estate,Process & eligibility
Dubai property handover se pehle bechna,Selling Dubai property before handover,hi,transactional,BOFU,1,AajTak,Process & eligibility
NOC Emaar Dubai Hindi,NOC from Emaar Hindi,hi,transactional,BOFU,1,No native Hindi supply,NOC procedures
SPA transfer Dubai Hindi,SPA transfer Hindi,hi,transactional,BOFU,1,No native Hindi supply,SPA transfer
पावर ऑफ अटॉर्नी Dubai property,POA Dubai property,hi,transactional,MOFU,1,Indian POA content only,Remote selling / POA
Dubai real estate mein invest kaise kare,How to invest in Dubai real estate,hi,informational,TOFU,2,YouTube patterns,Process & eligibility
भारतीय निवेशक दुबई,Indian investors Dubai,hi,informational,TOFU,3,AajTak + TV9 Hindi,Market context / oversupply
दुबई गोल्डन वीज़ा प्रॉपर्टी,Dubai Golden Visa property,hi,informational,MOFU,2,Hindi news,Regulatory / RERA
दुबई प्रॉपर्टी 2026,Dubai property 2026,hi,informational,TOFU,2,Aaj Tak + TV9,Market context / oversupply
UAE property tax India mein declare,Declaring UAE property in India,hi,informational,BOFU,2,Hindi finance portals,Tax — home-country residual
दुबई में घर बेचकर पैसा India कैसे लाएं,How to bring money to India after selling Dubai,hi,transactional,BOFU,2,CA-blog FAQs,Tax — home-country residual
Dubai property Hawala ED scrutiny,Dubai property hawala ED,hi,informational,BOFU,1,the420.in + BS,Tax — home-country residual
Oqood registration kya hai,What is Oqood,hi,transactional,MOFU,1,Limited Hindi supply,Oqood & DLD mechanics
दुबई रियल एस्टेट टोकनाइजेशन,Dubai real estate tokenization,hi,informational,TOFU,1,AajTak + AnalyticsInsight Hindi,Developer-specific rules
क्या NRI दुबई में प्रॉपर्टी खरीद सकते हैं,Can NRIs buy Dubai property,hi,informational,TOFU,2,Quora patterns,Tax — home-country residual
Dubai property kaise beche,How to sell Dubai property,hi,transactional,BOFU,1,Negligible Hindi supply,Process & eligibility
दलाली कमीशन दुबई,Broker commission Dubai,hi,informational,MOFU,1,None found,Commission — 0.15% vs 2%
FAIU notice Dubai property kya hai,What is FAIU notice Dubai property,hi,informational,BOFU,1,English-only supply,Tax — home-country residual
NRI income tax return Dubai property,NRI ITR Dubai property,hi,informational,BOFU,2,Bajaj Finserv Hindi + ClearTax Hindi,Tax — home-country residual
RBI rules Dubai property purchase Hindi,RBI rules Dubai property,hi,informational,MOFU,2,BS Hindi + CourtKutchehry,Tax — home-country residual
